Name,Manufacturer,Serial Number,Category,Purchase Date,Purchase Cost,Location,Company,Order Number,Quantity,Notes,Model Number,Min Qty,Supplier
Whole Grain Mustard,Mynte,dd905609-49c3-469e-9581-7780817624b5,Industrial,2025-04-19,3.49,Marinilla,"Vandervort, King and O'Reilly",80084,77,Tangy whole grain mustard for sandwiches and dressings.,Soft and cozy slippers for indoor wear.,250,Digitube
Brussels Sprouts,Skyba,,Health,2025-07-23,3.49,Kabanga,Quitzon LLC,,19,"Fresh Brussels sprouts, great for roasting or steaming.",Countertop compost bin for kitchen waste.,200,Twimbo
Plaid Flannel Shirt,Tanoodle,2dc717c7-2b1d-4ae9-8320-7add23a8d2c5,Garden,2025-07-03,29.99,,Wintheiser and Sons,6766,150,"Soft flannel shirt with a timeless plaid pattern, perfect for layering.",Soft and cozy bathrobe perfect for relaxing at home.,90,Flashpoint
Sriracha Hot Chili Sauce,Twinder,1c718db8-82ea-4721-96e3-f0e982a1ae0b,Garden,2025-01-11,2.99,Llauta,Wiza Group,61490,178,Spicy and tangy chili sauce for adding heat to any dish.,Sweet and savory sauce for marinating and glazing meats or vegetables.,127,Meevee
Paprika,,1048df35-e110-41cd-9d4f-1ac389ae5626,Baby,2025-02-12,1.79,,Satterfield-Keebler,94374,224,,,215,Zoovu
Maple Glazed Carrots,Gabspot,e5952403-3682-4bad-b8e4-a88d1561cc20,Sports,2025-12-25,3.29,Taurage,Jacobs Inc,9968,229,Tender carrots glazed with a sweet maple sauce.,High-quality matcha for making traditional tea or lattes.,30,Eazzy
Bamboo Charcoal Air Purifier Bags,Skibox,e603f1c5-7bf3-4865-af1f-63711cf05f19,Music,2025-11-29,12.99,Quwaysinā,,91748,182,Natural air purifiers to absorb odors and moisture.,Portable folding table for outdoor events.,119,Topicshots
Teriyaki Chicken Skewers,Rhyloo,107fb95d-0781-4cd2-afbb-06428e981867,Beauty,2025-11-26,8.99,Slovenski Javornik,"Schumm, Beier and Prohaska",,77,Grilled chicken skewers glazed with teriyaki sauce.,"Natural pink salt, perfect for seasoning.",283,
Chickpea Snack Mix,Photobug,9cbc9dba-a452-4a4f-9c25-6460e71a37ec,Grocery,2025-12-18,3.49,,,82217,286,"Crunchy, seasoned chickpeas for a wholesome snack.",,256,Skaboo
Chocolate Dipped Fruit,Lazzy,177d79b8-6ab2-4f5c-bc5e-6ededee3a6bb,Health,2025-05-28,5.99,Myaydo,,,78,"Fruits dipped in rich chocolate, perfect for desserts.",Ear protection for shooting and industrial use.,121,Yamia
Stylish Wide-Leg Trousers,Rhynyx,99dac5bc-ef58-4693-9dd2-f7e14d2ddfea,Outdoors,2025-05-04,59.99,Vitória de Santo Antão,,24861,271,Fashionable wide-leg trousers for a chic silhouette.,A stunning lace dress perfect for special occasions.,,Skinder
Surimi Crab Sticks,,f1bd3e21-cf65-41a1-aeea-49f811c6d30e,Beauty,2025-09-05,4.19,Villarrica,"Huel, Mayert and Marvin",,234,"Synthetic crab meat sticks, great for salads and sushi.",,110,Twitterworks
Maple Pecan Granola,,5d1d1f64-93bf-4f26-9eee-c6d8e7135ef9,Jewelry,2026-01-23,4.49,Mawlaik,Balistreri and Sons,71543,272,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking.",Crunchy corn chips flavored with chili and lime for a zesty kick.,,Trudeo
Spicy Beef Taco Mix,Voomm,4455e25b-5c77-4fde-99c3-b12cdba3c073,Sports,2025-05-15,1.99,Volkhovskiy,Koepp-Stehr,39080,289,Easy mix for making spicy beef tacos.,"Lightly salted rice cakes, perfect for a healthy snack.",102,Chatterbridge
Lemon Sorbet,,7ef131b8-87b2-4678-a596-3f3dd198b9c8,Movies,2025-01-17,,,Bernier-Goldner,,117,Refreshing sorbet with a zesty lemon flavor.,Everything you need to create a hearty beef stroganoff.,294,Jayo
Chocolate Fudge Ice Cream,Devpulse,,Games,2025-07-28,,Varkaus,,,173,Rich and creamy chocolate fudge ice cream for dessert.,"High-density, non-slip yoga mat for stability and comfort.",57,Voonyx
Stainless Steel Mixing Bowls,Geba,f0e671a0-6fe6-4111-a701-418747e1bec0,Sports,2025-07-15,29.99,Basar,Rogahn-Legros,,160,Set of versatile mixing bowls for cooking.,Educational tablet designed for preschool-age children.,119,Twiyo
Smart Doorbell,Pixonyx,07c2da79-dd19-41d6-87e4-e375c55548d2,Jewelry,2025-07-14,119.99,Akhaldaba,Murphy-Runte,94724,81,Wi-Fi enabled doorbell with HD camera and two-way audio.,Hands-free waist pack for carrying essentials while walking your dog.,273,Meevee
Cauliflower Gnocchi,Avamba,dadb6b5a-002c-47d9-b3eb-91a141435d3e,Games,2025-11-01,3.59,Manuel Cavazos Lerma,"Mante, Nader and Rowe",35683,128,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce.",Instant noodles with a spicy Thai sauce for quick meals.,156,Quimba
Organic Ramen Noodles,Geba,cf4c7139-9f0a-4f1b-8f83-87e4e3a00497,Home,2025-12-19,2.89,,"Crist, Koelpin and Durgan",35072,160,Quick-cooking ramen noodles made with organic wheat.,Lightweight fishing rod suitable for beginners.,35,Plajo
Children's Backpack,,0fd2c5d9-26d1-42b0-aa10-74f9aeadb58f,Baby,2025-11-14,29.99,Lianghekou,,41078,222,Stylish and functional backpack for school or trips.,Bold graphic hoodie featuring a comfortable fit and soft fabric.,86,Quatz
Ginger Turmeric Latte Mix,Zoonder,a5d95e25-c3eb-4de9-aaeb-95e6323cd142,Shoes,2025-08-09,5.29,Huxi,Marvin Group,65612,198,A warming blend of ginger and turmeric for lattes.,Organizational cubes for easy packing and travel.,282,Bubbletube
Cereal Dispenser with Portion Control,,895b2911-01e5-4217-bf84-96b9fe48c702,Beauty,2025-06-23,24.99,Aparecida,Kulas-Barrows,,105,Maintain freshness and dispense cereal easily.,"A delicious savory quinoa pudding, great as a side dish.",110,LiveZ
Honey Garlic Chicken,Devcast,0a659deb-8d98-4ec0-8200-add775d21e9d,Baby,2025-06-05,8.49,Nanggorak,Kris LLC,62936,69,Tender chicken coated in a sweet and savory honey garlic sauce.,Delicious canned pineapple rings for desserts or salads.,241,Realcube
Organic Spinach,Skynoodle,fb63945d-c42f-4192-afe6-b3b7bec7941b,Tools,2025-01-19,2.99,,,53904,81,"Fresh organic spinach, great for salads or cooking.","A blend of assorted nuts, perfect for snacking or adding to recipes.",181,Mymm
Pressure Washer Accessories Kit,Twinte,e75d69b7-a50e-44a3-b5a8-81870e2d9ec6,Outdoors,2025-05-07,,Concepción,"Feeney, Gislason and Gleichner",84068,200,Essential attachments for pressure washing.,Essential survival gear kit for emergencies.,127,Reallinks
USB Wall Charger,Voolith,b44849a5-5a19-4053-a96a-a34e7ba91f81,Games,2025-10-23,19.99,Jaga,Metz LLC,,299,,Rich and creamy Caesar dressing for salads and wraps.,84,
Mango Chutney,Gabvine,cd487632-2512-4e9d-9720-c2ab8943a553,Books,2025-07-28,3.99,Kamenjane,Cremin-Dibbert,90386,45,Sweet and tangy mango chutney for a flavorful dip.,,154,Photospace
Roasted Garlic Pasta Sauce,Meezzy,d71bbe71-1378-472a-8afc-463179e206cc,Games,2025-12-01,4.99,,,74298,93,A flavorful pasta sauce made with roasted garlic.,A crunchy blend of nuts and pretzels with a spicy kick.,195,Eare
Knitted Infinity Scarf,Viva,9fda6d3c-7b6a-4904-9968-f32ebb6b83ec,Outdoors,2025-09-08,29.99,Xinpu,Ledner LLC,68215,139,A warm knitted scarf to keep you cozy in winter.,"Fresh button mushrooms, great for cooking.",,Voonyx
Organic Baby Carrots,Voonyx,,Music,2025-04-16,2.99,,,1308,235,Fresh and crunchy baby carrots ready for snacking.,Nutritious and hearty pasta made from whole wheat flour.,154,
Quality Chef Apron,Topicstorm,934f2216-7498-42c7-a592-53a044ad4c57,Sports,2025-03-11,19.99,Renko,"Larkin, Boyer and Goyette",77834,273,Durable apron to keep clothes clean while cooking.,A fashion-forward bomber jacket to elevate your casual looks.,,Meejo
Professional Chef Knife,Talane,,Toys,2026-01-25,,,,,204,High-carbon stainless steel chef knife for precision cutting.,"Classic marinara sauce for pasta, pizza, or dipping.",,Photobean
Salt and Pepper Grinder Set,BlogXS,98f75da1-bcb6-47fd-93b7-e70ed37675a6,Automotive,2025-02-28,19.99,Pasirpanjang,,,115,Adjustable grinders for fresh spices at the table.,A spicy marinade perfect for chicken and fish.,4,Einti
Sweet Chili Dipping Sauce,Jatri,fa808109-2ed1-400d-97a7-e21b00aa82f0,Music,2026-01-08,2.99,Bairro do Margaça,"Wolf, Hauck and Witting",87407,187,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,"Homemade jam made with blueberries and chia seeds, no added sugar.",88,Babbleset
Ethically-Sourced Coffee Beans,Skinix,,Baby,2025-04-13,9.99,Hexi,Wisozk and Sons,19597,140,Freshly roasted coffee beans with rich flavor.,Nutritious protein bars for on-the-go snacking.,7,Abata
Organic Almonds,Topicstorm,,Home,2025-02-20,8.99,Ejido,Sanford Inc,6133,271,"Crunchy and nutritious almonds, perfect for snacking.",,250,Twitternation
Teriyaki Chicken Bowl,Skipfire,,Toys,2025-04-04,6.49,Lincuo,,73185,266,Ready-to-eat chicken bowl with teriyaki sauce and rice.,"Sweet and fruity peach preserves, perfect for spreading on toast.",102,Avaveo
Woven Storage Baskets,Twitternation,139479e9-0c82-4d81-a834-ab8cb0082fb1,Clothing,2026-01-01,24.99,Zhoutie,Torphy Group,,215,Stylish baskets for organizing various items in your home.,Inflatable air mattress for convenient sleeping.,225,Feedbug
Sweet and Sour Sauce,Yacero,452a8c73-1816-4777-9898-96d04bbf8d98,Tools,2025-04-04,2.79,Bunisari,"Boyle, Hahn and Will",77741,23,,Practical organizer for keeping your home tidy and clutter-free.,,Mynte
Golf Putting Green,Camido,786df267-c638-4af1-ab48-92c21e851612,Books,2025-06-16,79.99,Cijoho,,39167,209,Indoor putting green for practicing your putting skills.,Everyday flats that combine comfort and style.,178,Topicware
Cookbook,Mudo,c6a0cfe3-244b-41d3-a672-d0a954bf1419,Electronics,2025-01-25,27.99,Lasusua,"Crist, Nitzsche and Bailey",,62,Inspiring cookbook with healthy recipes.,Cozy beanie hat to keep your head warm in the cold.,,Gigabox
Karaoke Microphone,Skinte,638c926d-20cf-45bf-9c28-3369df87c9bf,Books,2025-04-10,,Antanhol,"Yundt, Steuber and King",,31,Wireless microphone for singing and performances.,"Canned chickpeas, perfect for hummus or salads.",,Skyba
Athletic Jogging Jacket,Kaymbo,6d282744-fec2-469d-9b42-105dd9d4f2e1,Clothing,2025-10-23,49.99,Artémida,"Weissnat, Casper and Turcotte",37357,285,Designed for comfort and performance during workouts.,Spicy sauce perfect for chicken wings and dipping.,181,Yozio
Organic Black Rice,Tazz,,Baby,2025-06-10,3.59,,Quitzon-West,89918,111,,Natural air purifiers to absorb odors and moisture.,53,Pixoboo
Spicy Thai Chili Sauce,,242f35d1-2993-4d24-82de-9612901b1f50,Grocery,2025-05-25,,Tul’chyn,"Huel, Turcotte and Rempel",23518,269,A sweet and spicy sauce for dipping or cooking.,"A blend of dried fruits and nuts, great for snacking.",119,
Kombucha Drink,Trupe,91c57b2a-7ff0-4dab-b79e-4302e03a5e78,Books,2025-08-25,3.49,Yong’an,"Wolf, Koepp and Rippin",40765,143,"Refreshing and tangy fermented tea, available in various flavors.",,216,Photobug
Californian Raisins,Kwimbee,a85d42d9-1cf9-4207-beda-23f1adfed07e,Games,2025-04-20,3.19,Messina,Veum-Gibson,85349,265,"Sweet dried raisins, perfect for snacks or baking.",,78,
Veggie Burger Patties,,e099706d-f8a5-4c92-9012-aa88c0f86a86,Automotive,2025-09-02,,Żernica,Haley LLC,67383,239,,"Refreshing apple juice, 100% juice with no added sugar.",213,
Ankle Boots,Voolia,0293ebfd-23e9-437a-8e6e-a3f009a65614,Industrial,2025-08-09,89.99,Siikajoki,"Howell, Mante and Schamberger",51964,114,"Stylish leather ankle boots with a block heel, perfect for fall styling.",Protective goggles for DIY and construction work.,185,Plambee
Flavored Popcorn Mix,Aivee,2208d1bb-0432-4099-b5dd-d4b00ef1e873,Sports,2025-01-18,,,Mitchell-Moore,35933,74,Popcorn tossed with sweet or savory flavors for a tasty snack.,Countertop compost bin for kitchen waste.,251,Aibox
Portable Hammock Swing,Dablist,0a7a29cb-74dd-4e1b-bf36-5332974bdb17,Clothing,2025-07-14,59.99,Madette,"McGlynn, Hintz and Hermann",19655,242,Lightweight and portable swing hammock for relaxing outdoors.,"Flavored couscous with herbs and spices, perfect as a side dish or a base for salads.",,Avamba
Organic Almonds,Youbridge,e5d1e0e0-ee1d-4eb5-becf-082460742c24,Music,2025-05-19,8.99,Masatepe,,,24,,,,Kimia
Kids' Crafting Station,Aimbo,1109fabf-e4b6-45c1-b94a-4f727cb38fcf,Books,2025-03-30,49.99,Belisario Dominguez,,79239,213,Complete station with supplies for kids' art projects.,Delicious bacon with a rich applewood smoked flavor.,,Avamba
Multifunctional Pocket Tool,Feedfish,3e68fea5-e61f-47d9-9d92-c6c26aa35a39,Automotive,2025-01-09,19.99,Gandoang,Douglas Group,45214,18,Compact pocket tool with various built-in functions.,A bright and zesty dressing perfect for salads and tacos.,282,Yozio
Chili Beans (canned),Pixonyx,ae1434a5-c609-4202-865d-6f1056e033b3,Electronics,2025-06-13,1.69,,Ritchie-Spencer,,127,"Canned beans with chili sauce, perfect for chili dishes.",Juicy and tender boneless chicken breasts.,55,Jaxbean
Cereal Dispenser with Portion Control,Wordware,7118b1d6-e952-43e2-ab68-0e9076a93823,Toys,2025-09-07,,,Streich Inc,11766,222,Maintain freshness and dispense cereal easily.,,287,Avamba
Pet Reflective Vest,Jazzy,,Shoes,2025-08-27,18.99,Chengjiao,Kovacek LLC,94438,239,,Quick-boiling kettle for home and office use.,,Mudo
Cacao Nibs,Photojam,7c1c449e-2a18-408b-a1bb-850767bf0bc0,Movies,2026-02-10,6.49,General Conesa,Hansen Inc,52194,57,"Crunchy cacao nibs, great for adding to smoothies or baking.","Concentrated tomato paste, great for sauces.",59,Dynabox
Sparkling Blood Orange Soda,Voonte,b7705582-28e1-4714-a450-1b0a54ab5efd,Electronics,2025-06-26,1.99,Xiangdong,,55304,230,A refreshing sparkling beverage with a bold blood orange flavor.,"Thin rice noodles, ideal for stir-fries and soups.",124,Npath
Classic Chicken Noodle Soup,Feednation,95bdaf9c-5e4f-44e2-8956-cbf5be36f6a3,Music,2025-02-09,,Solnechnogorsk,,72408,53,A comforting soup filled with chicken and noodles in broth.,Convenient hooks that utilize door space for hanging items.,248,Yozio
Graphic Print Leggings,Eimbee,dab45c4b-67d0-432e-9e5a-75ec705fa002,Outdoors,2025-10-04,,Canalete,"Swift, Rippin and Harvey",51470,55,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",,202,Realbridge
Coconut Oil Spray,Brainsphere,74ac65ab-8151-408d-b385-a941fac3cd55,Clothing,2025-02-18,4.99,,,91246,46,A zero-calorie coconut oil spray for cooking and baking.,Vertical shoe rack for saving closet space.,257,Leenti
Italian Herbal Seasoning,Skiptube,,Sports,2025-07-02,1.99,Talata Mafara,O'Reilly Group,75562,155,A fragrant blend of Italian herbs for pasta sauces and marinades.,Supportive yoga wheel for deep stretching and balance.,60,Twitterbridge
LED Camping Lantern with USB Charging,Eare,,Electronics,2025-04-27,34.99,Al Ḩāmūl,Runolfsson-Dickinson,83617,299,Rechargeable lantern with multiple brightness settings for outdoors.,Salsa made with fire-roasted tomatoes for an authentic flavor.,53,Jayo
Stainless Steel Water Pitcher,Topiclounge,,Jewelry,2025-04-05,,Potosí,"Lubowitz, Walter and Bauch",,67,Insulated pitcher to keep beverages cold or hot.,"High in protein, perfect for soups and stews.",164,Miboo
Electric Hot Water Dispenser,Zoomcast,,Games,2025-04-22,59.99,Yudaikelike,"Marquardt, Bartoletti and Wisoky",32742,76,Instant hot water dispenser for tea and cooking.,Sweetened sticky rice served with fresh mango and coconut sauce.,153,Devbug
Electric Egg Cooker,Jayo,,Sports,2025-11-28,29.99,Tiblawan,,89216,85,,Love-themed molds for creating desserts and treats.,162,Buzzshare
Tandoori Chicken Marinade,Tekfly,c9b33664-17a7-401e-b6cf-4e8237df6c73,Grocery,2025-05-12,,,Hayes LLC,72080,30,Delicious and tangy marinade for grilling or baking chicken.,A timeless baseball cap that adds a sporty touch to any outfit.,295,Jaxnation
LED Makeup Mirror,Zoozzy,c33824c4-5043-4d80-b8b6-bb91e216f4a0,Books,2025-02-13,39.99,Bayonne,Abshire-Greenfelder,11046,174,Illuminated vanity mirror with adjustable brightness settings.,Classic chicken noodle soup with tender chicken and vegetables.,,Topicblab
Pistachio Ice Cream,Dynazzy,b50e37c2-b06d-483b-99d6-00221f134d35,Computers,2025-01-21,4.99,Shuidong,Terry LLC,4800,237,Creamy pistachio-flavored ice cream with real nuts.,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,104,Skyble
Spinach Feta Wraps,Buzzbean,37b1be8d-0c54-48f0-8b07-7d0bac94d5f3,Jewelry,2025-09-20,4.29,Sueyoshichō-ninokata,,95621,138,"Whole wheat wraps filled with spinach, feta, and herbs.",Multiple USB ports for charging devices simultaneously.,7,Flipopia
Oversized Denim Shirt,Katz,66e5a24c-5a8c-4b8c-bf70-068d33dc6ce8,Grocery,2025-01-12,,,,91117,84,A trendy oversized denim shirt perfect for layering.,"Chilled noodles dressed in sesame sauce, ready to eat.",282,Kaymbo
Adjustable Window Blind,Thoughtbridge,2e422c7c-14e3-4443-b0bb-ca19fef97c28,Shoes,2025-11-25,,Guankou,"Schulist, Becker and Douglas",39347,53,,,103,Voolia
Digital Meat Thermometer,,3a78acfc-6e0e-4aa6-9dc0-bccdaf93f1e5,Home,2025-01-30,24.99,,Barton and Sons,,86,Instant-read thermometer for precise cooking temperatures.,Upgrade your phone photography with this lens kit that includes wide-angle and macro lenses.,,Gabcube
Organic Ramen Noodles,Browsebug,e7c6c83f-f657-47d9-8294-63d62b8816af,Tools,2025-09-25,2.89,Olupona,"Towne, Senger and Keebler",89419,2,Quick-cooking ramen noodles made with organic wheat.,"Smart tailored dress pants, perfect for work or formal events.",21,JumpXS
Electric Rice Cooker,,da390662-91f4-4863-86e5-e2d282b95993,Games,2025-08-12,39.99,Jimo,Ernser-Rowe,84592,28,Multi-function rice cooker for all types of rice recipes.,Spicy and tangy chili sauce for adding heat to any dish.,125,Flipopia
Car Sunshade,Skipstorm,0017a6bf-c464-4344-a05f-86057bd37068,Jewelry,2025-04-24,19.99,Tiandeng,Bruen-Feeney,71136,95,Windshield sunshade for car interior protection.,Essential ingredient for baking fluffy cakes and pastries.,87,
Multi-Purpose Plant Care Tool,Devify,5f8ffd8c-7f8a-4d7a-a505-0066bb480424,Home,2025-12-28,24.99,,Wiza-Hoeger,88153,208,"All-in-one tool for measuring soil moisture, light, and pH.",Marinated chicken thighs with smoked paprika for a smoky flavor.,,Cogibox
Blueberry Muffin Mix,Wordware,efae7d6f-0b75-4340-924a-5aa8fe47578a,Music,2025-07-18,4.29,,"Pouros, Lind and Ritchie",80927,292,Make delightful blueberry muffins at home with this easy mix.,Secure phone mount for your vehicle's dashboard.,141,Jayo
Warm Knit Beanie,,4a1f7ae4-2b63-4ea4-8f60-83439449385d,Kids,2025-02-23,19.99,,"Hickle, Harber and Rau",34788,158,Stay warm with this stylish knit beanie in various colors.,Countertop compost bin for kitchen waste.,142,Jamia
Kids' Gardening Kit,Feedfire,a4999317-b029-47d2-a8ef-01d22a9aa555,Automotive,2025-08-05,,Hongqi,Runte-Monahan,19687,45,Complete set designed for children to learn gardening.,Nutritious chia seeds great for smoothies,80,Thoughtblab
Buttermilk Pancakes,,,Outdoors,2025-09-07,3.99,Langley,Tromp-Volkman,19050,1,,A fashion-forward bomber jacket to elevate your casual looks.,,Fivechat
Thai Green Curry Paste,Plambee,fcd6c866-1285-4078-8eeb-4e6151efd48c,Outdoors,2025-09-02,2.49,Añatuya,Gibson and Sons,93900,282,A rich curry paste for making authentic Thai green curry at home.,Bottle that allows you to infuse your water with fruits.,204,
Sour Cream,,067b71cf-a425-4881-a64e-1b265a1c26c5,Clothing,2025-12-09,3.49,Tianzhuang,,56837,190,"Tangy sour cream, perfect for dips and toppings.",Assorted herbal tea bags for relaxation and wellness.,113,Dablist
Organic Coconut Yogurt,,86214b5a-b319-4dca-9f04-81a324e3a0d2,Industrial,2025-11-04,4.49,Tatebayashi,"Leuschke, Weimann and Becker",59788,218,Dairy-free yogurt made from coconut milk.,"Instant oats with a savory twist, such as herbs and spices.",41,Fivechat
Peach Slices in Syrup,Photofeed,b8e524bc-2f78-4a0d-9b2e-2664aeb62ff5,Automotive,2026-02-06,2.59,,Hansen LLC,420,252,"Sweet and tender peach slices preserved in syrup, great for desserts.","Customizable RGB LED light strip, perfect for mood lighting.",192,Shufflester
Winter Knit Beanie,Aimbo,422609e8-78a7-411e-94af-7f5dedb73850,Industrial,2025-01-18,14.99,Alta Gracia,Breitenberg-Gottlieb,87399,17,Cozy beanie hat to keep your head warm in the cold.,"Golden brown potato tots, crispy on the outside and fluffy inside.",,Devify
Folding Backpack Chair,,8f76aa67-2433-4531-9635-49636a56dfc8,Books,2025-07-20,49.99,Brzeźnica,Gorczany-Labadie,89590,191,Versatile chair that easily folds up for carrying.,Wheeled cooler for transporting drinks and snacks.,237,
Frozen Broccoli,Dabtype,506c8574-9b6f-4df2-99f7-6eaaf4be3f40,Sports,2025-10-29,2.49,Viļaka,Mayert-Doyle,18159,9,"Nutrient-rich broccoli, easy to add to any meal.",Hands-free waist pack for carrying essentials while walking your dog.,297,Rooxo
Pet Tracking Collar,Aibox,0e293bbc-937f-4452-8e70-830d9ec3f027,Movies,2025-11-10,,T’ongch’ŏn-ŭp,,78555,166,GPS pet collar that helps locate your pet via smartphone app.,True wireless earbuds with touch control.,151,Linkbridge
Ceramic Cookware Set,Tazzy,,Industrial,2025-06-24,179.99,Nueva Vida Sur,,38595,284,Durable and non-stick ceramic cookware for healthy cooking.,Battery-operated blender for smoothies on the go.,229,Fliptune
Yoga Mat Carrier,Devcast,6808a207-b903-403b-b9ff-c02b63d374fe,Games,2025-04-22,,Östhammar,"Hessel, Gleichner and Littel",79127,154,Convenient carrier for transporting yoga mat.,,47,Layo
Kids' Art Easel,Babblestorm,9dc6560b-4e6f-45ba-9069-d3d40c9d865c,Kids,2025-10-28,58.99,Yanglin,"Heidenreich, Morar and Tromp",,5,Double-sided art easel for painting and drawing.,Convertible kneeler and seat for gardening comfort.,221,Buzzster
Caramelized Onion Dip,Kimia,979bc792-90e3-4fe2-8ea1-542962092762,Movies,2025-01-19,3.99,Zuocun,Carroll Group,,253,"Creamy dip made with caramelized onions, perfect for chips or veggies.","Decadent brownies made without gluten, rich and chocolatey.",246,Dabvine
Cinnamon Ice Cream,Voonder,2e8f1ba4-e92b-4f56-9ba7-913f45559806,Tools,2025-08-04,4.99,Cocieri,Metz Group,23018,284,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert.","Bright and fragrant cilantro, great for garnishes.",55,Tagchat
Raisin Cinnamon Granola,Cogidoo,26ad7e09-62e4-4743-a837-eb512f585879,Computers,2026-02-13,,Gimo,,50323,269,Crunchy granola with raisins and cinnamon for a delightful breakfast.,Eco-friendly bags for picking up after your pet.,,
Golf Polo Shirt,Dabfeed,e9ff574d-5fbd-4e50-8445-519e1c831053,Outdoors,2025-04-15,39.99,,Friesen Inc,80449,47,Breathable polo shirt designed for both style and comfort on the greens.,,71,Zoombeat
Raspberry Lemonade Mix,Voolia,74633cbc-44c1-4d7b-91cd-e1c300667e37,Computers,2025-09-04,,Úštěk,Wilkinson-Maggio,99480,300,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer.",Delicious veggie burgers loaded with grilled vegetables.,197,Photobean
Coconut Curry Lentils,Thoughtbeat,f60da7cf-1e2f-4f43-a6c9-b5060cb06cd3,Automotive,2026-02-04,5.79,Zhongzuiling,,,123,Lentils cooked in a coconut curry for a hearty meal.,"Bright, vibrant sign to add flair to any space.",,Agimba
Pet Hair Vacuum Cleaner Attachment,Vipe,97e8da98-3501-4b2a-884c-4090f31b7d52,Industrial,2025-10-31,14.99,Rāmsar,"Wolf, Corkery and Orn",,289,Specialized attachment for removing pet hair from surfaces.,Compact jump starter for emergency vehicle starts.,79,Voonyx
Cocktail Shaker and Mixing Glass Set,Youspan,ffa14799-9478-4aa6-9e0b-ab71fda8b0c3,Garden,2025-10-25,39.99,Jacksonville,Osinski and Sons,44933,219,Complete set for mixing cocktails at home.,Learning tablet with kid-friendly educational apps.,83,Centimia
Vegetarian Stuffed Peppers,Voonyx,3586528e-40b9-4dca-848b-4d6a16e8033b,Outdoors,2025-11-29,4.99,,"Shields, Block and Miller",93802,193,"Bell peppers stuffed with rice, beans, and spices, ready to bake.",Ready-to-bake cookie dough packed with chocolate chips.,22,Buzzbean
DIY Candle Kit,Skippad,d4f631e7-6a95-4b28-befc-f0441891b7cb,Clothing,2025-05-30,34.99,,"Konopelski, Thompson and Turcotte",95848,47,Everything you need to make your own scented candles at home.,Quick oatmeal with various flavors,83,Fivespan
DIY Lip Balm Making Kit,Dynazzy,0d65c21a-dc59-4181-8744-a9c8f75fe5fc,Sports,2025-03-09,22.99,Basing,,,112,Complete kit to make your own flavored lip balms at home.,Salsa made with fire-roasted tomatoes for an authentic flavor.,0,
Garlic Parmesan Roasted Nuts,Oba,,Music,2025-06-01,4.89,Tân Sơn,"Kris, Wiegand and Toy",91022,91,"Savory, roasted nuts seasoned with garlic and parmesan.",Regulate water temperature for safe and comfortable showers.,,Thoughtbridge
Coconut Curry Lentils,,3af9f1ef-6038-4ed1-9cad-a29468dbfdce,Garden,2025-05-04,5.79,Niedrzwica Duża,"Schmitt, Christiansen and Cormier",774,293,Lentils cooked in a coconut curry for a hearty meal.,Extra soft electric blanket with adjustable heat settings.,,Browsedrive
Wall Decals for Kids,Kamba,,Movies,2025-09-02,24.99,Huanuni,,90162,178,Fun and colorful wall decals for children's rooms.,Compact hair dryer with multiple heat settings.,2,Ailane
Portable Ice Maker,Yakidoo,3d049d89-9546-4646-bdbe-5ff8014e916d,Sports,2025-01-17,199.99,,Graham-Murphy,86887,46,Compact ice maker for creating ice at home or in offices.,Eco-friendly coffee filter for brewing.,,Jabbertype
Smartphone Projector,Layo,97626704-88bf-436f-8efb-03af5a2af47b,Grocery,2025-08-05,29.99,Patos de Minas,"O'Keefe, Fritsch and Jacobson",69296,236,DIY projector that magnifies your smartphone screen for movie nights.,Multi-angle stand for easy viewing of devices.,,Pixonyx
Gardening Tool Belt,Devpulse,c4ce4ddf-e65f-4dff-8945-bff0ed6466c2,Beauty,2025-10-27,22.99,Nová Role,Moen LLC,8439,20,Convenient belt with pockets for easy access to tools while gardening.,"Canned chickpeas, perfect for hummus or salads.",271,Bubblebox
Spicy Avocado Salsa,Oyoloo,e39e5c19-30ba-4901-b859-7be6ad8f81be,Automotive,2025-08-26,4.49,Charikar,"Rosenbaum, Hane and Herman",56175,63,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",Lightweight and portable folding table for camping or picnics.,146,Feedspan
Apple Pie Filling,,dc8b80e6-4c91-44a4-ae8b-b66da61232f7,Games,2025-07-09,3.49,Kālia,Nader-Carter,22783,205,"Sweet and spiced apple filling, perfect for pies.",Crunchy croutons with a blend of herbs for salads.,,Rhyloo
Portable Bluetooth Speaker,Cogibox,7ece4c80-0fe2-487a-8155-95c322c11fcd,Beauty,2025-06-23,49.99,El Pao,"Wehner, Dare and Gislason",8366,59,Compact Bluetooth speaker with rich sound quality.,Protects car interior from sun damage and heat.,181,Skinte
